,Table,Field,English,Spanish,English Tooltips,Spanish Tooltips,English Placeholders,Spanish Placeholders
116,seguimiento_pedido,Eta_puerto_descarga,Eta Puerto Descarga,Eta Puerto Descarga,,,,
117,seguimiento_pedido,Etb_puerto_descarga,Etb Puerto Descarga,Etb Puerto Descarga,,,,
118,seguimiento_pedido,Fecha_factura,Fecha Factura,Fecha Factura,,,,
119,seguimiento_pedido,Ref_lista_precio,Ref Lista Precio,Ref Lista Precio,,,,
120,PNC Graneles,,PNC Graneles,PNC Graneles,,,,
121,PNC Graneles,Id_pedido,Order Id,Pedido,,,,
122,PNC Graneles,Empresa,Consignee,Consignatario,,,,
123,PNC Graneles,UN,BU,UN,,,,
124,PNC Graneles,Fecha_de_Solicitud,Request Date,Fecha de solicitud,,,,
125,PNC Graneles,Id_tipo_prod,Product Type,Tipo de producto,,,,
126,PNC Graneles,No_orden_compra_cliente,Vessel,Buque,,,,
127,PNC Graneles,Responsable,Responsible,Responsable,,,,
128,PNC Graneles,cliente_final,Final Client,Cliente Final,,,,
129,PNC Specialties,,PNC Specialties,PNC Specialties,,,,
130,PNC Specialties,Id_pedido,Order Id,Id Pedido,,,,
131,PNC Specialties,Empresa,Consignee,Consignatario,,,,
132,PNC Specialties,UN,NU,UN,,,,
133,PNC Specialties,Fecha_de_Solicitud,Request Date,Fecha de solicitud,,,,
134,PNC Specialties,Id_tipo_prod,Product Type,Tipo de producto,,,,
135,PNC Specialties,No_orden_compra_cliente,nan,No OC Cliente,,,,
136,PNC Specialties,Fecha_emision_OC,Fecha Emision OC,Fecha Emision OC,,,,
137,PNC Specialties,Responsable,Responsible,Responsable,,,,
138,PNC Specialties,No_oc_cliente,Sourcing PO,No OC Sourcing,,,,
139,PNC Specialties,No_Cotizacion,No Cotizacion,No Cotizacion,,,,
140,PNC Specialties,cliente_final,Final Client,Cliente Final,,,,
141,Seguimiento PNC Graneles,,Order Tracking,Seguimiento Pedido,,,,
142,Seguimiento PNC Graneles,PEDIDO,Order,PEDIDO,,,,
143,Seguimiento PNC Graneles,Id_detalle_pedido,Order Detail ID,Id Detalle Pedido,,,,
144,Seguimiento PNC Graneles,No_camion,No Camion,No Camion,,,,
145,Seguimiento PNC Graneles,Fecha_estimada_disponibilidad_pedido,Fecha Estimada Disponibilidad Pedido,Fecha Estimada Disponibilidad Pedido,,,,
146,Seguimiento PNC Graneles,Fecha_envio_documento_tramite_permiso,Fecha Envio Documento Tramite Permiso,Fecha Envio Documento Tramite Permiso,,,,
147,Seguimiento PNC Graneles,Fecha_envio_documento_definitivo,Fecha Envio Documento Definitivo,Fecha Envio Documento Definitivo,,,,
148,Seguimiento PNC Graneles,Fecha_real_disponibilidad_pedido,Fecha Real Disponibilidad Pedido,Fecha Real Disponibilidad Pedido,,,,
149,Seguimiento PNC Graneles,Fecha_arribo_camion_frontera,Fecha Arribo Camion Frontera,Fecha Arribo Camion Frontera,,,,
150,Seguimiento PNC Graneles,Fecha_arribo_camion_destino,Fecha Arribo Camion Destino,Fecha Arribo Camion Destino,,,,
151,Seguimiento PNC Graneles,Fecha_bl,BL Date,Fecha Bl,,,,
152,Seguimiento PNC Graneles,Flete,Freight,Flete,,,,
153,Seguimiento PNC Graneles,Precio_TM,Sales Price /MT,Precio Venta TM,,,,
154,Seguimiento PNC Graneles,Valor_total,Valor Total Venta,Valor Total Venta,,,,
155,Seguimiento PNC Graneles,No_factura,No Factura,No Factura,,,,
156,Seguimiento PNC Graneles,PCarga,Loading Port,Puerto de Carga,,,,
157,Seguimiento PNC Graneles,Pais_carga,Loading Country,Pais Carga,,,,
158,Seguimiento PNC Graneles,No_embarque,No Embarque,No Embarque,,,,
159,Seguimiento PNC Graneles,Docto_digital_enviado,Docto Digital Enviado,Docto Digital Enviado,,,,
160,Seguimiento PNC Graneles,Docto_original_enviado,Docto Original Enviado,Docto Original Enviado,,,,
161,Seguimiento PNC Graneles,Pais_origen,Origin Country,Pais Origen,,,,
162,Seguimiento PNC Graneles,Fecha_ofrecida_despacho_de,Fecha Ofrecida Despacho De,Fecha Ofrecida Despacho De,,,,
163,Seguimiento PNC Graneles,Fecha_ofrecida_despacho_a,Fecha Ofrecida Despacho A,Fecha Ofrecida Despacho A,,,,
164,Seguimiento PNC Graneles,Estado_zarpe,Estado Zarpe,Estado Zarpe,,,,
165,Seguimiento PNC Graneles,Fecha_arribo,Fecha Arribo,Fecha Arribo,,,,
166,Seguimiento PNC Graneles,Estado_arribo,Estado Arribo,Estado Arribo,,,,
167,Seguimiento PNC Graneles,Id_tipo_prod,Product Type,Tipo Producto,,,,
168,Seguimiento PNC Graneles,Fecha_confirmacion_cliente_despacho_camion,Fecha Confirmacion Cliente Despacho Camion,Fecha Confirmacion Cliente Despacho Camion,,,,
169,Seguimiento PNC Graneles,Observaciones,Observations,Observaciones,,,,
170,Seguimiento PNC Graneles,Cantidad_contenedores,Cantidad Contenedores,Cantidad Contenedores,,,,
171,Seguimiento PNC Graneles,Incoterm_venta,Sales Incoterm,Incoterm Venta,,,,
172,Seguimiento PNC Graneles,Valor_unitario_venta,Valor Unitario Venta,Valor Unitario Venta,,,,
173,Seguimiento PNC Graneles,Valor_total_venta,Valor Total Venta,Valor Total Venta,,,,
174,Seguimiento PNC Graneles,No_factura_trading,No Factura Trading,No Factura Trading,,,,
175,Seguimiento PNC Graneles,Fecha_zarpe,Fecha Zarpe,Fecha Zarpe,,,,
176,Seguimiento PNC Graneles,termino_venta,Termino Venta,Termino Venta,,,,
177,Seguimiento PNC Graneles,Fecha_cargo_mercaderia_camion,Fecha Cargo Mercaderia Camion,Fecha Cargo Mercaderia Camion,,,,
178,Seguimiento PNC Graneles,Id_estado,Status,Estado,,,,
179,Seguimiento PNC Graneles,No_lotes,No Lotes,No Lotes,,,,
180,Seguimiento PNC Graneles,Fecha_real_despacho_camion,Fecha Real Despacho Camion,Fecha Real Despacho Camion,,,,
181,Seguimiento PNC Graneles,Responsable,Responsable,Responsable,,,,
182,Seguimiento PNC Graneles,No_lista_empaque,No Lista Empaque,No Lista Empaque,,,,
183,Seguimiento PNC Graneles,Eta_puerto_carga,ETA Loading Port,Fecha Estimada Arribo a Puerto de Carga,,,,
184,Seguimiento PNC Graneles,Fecha_zarpe_estimada,ETD,Fecha Zarpe Estimada,,,,
185,Seguimiento PNC Graneles,Plazo_venta,Term of Sale,Plazo Venta,,,,
186,Seguimiento PNC Graneles,Eta_puerto_descarga,ETA Discharge Port,Fecha Estimada Arribo a Puerto de Descarga,,,,
187,Seguimiento PNC Graneles,Etb_puerto_descarga,ETB Discharge Port,Fecha Estimada Atraque a Puerto de Descarga,,,,
188,Seguimiento PNC Graneles,Fecha_factura,Fecha Factura,Fecha Factura,,,,
189,Seguimiento PNC Graneles,ref_lista_precio,Ref Lista Precio,Ref Lista Precio,,,,
190,Seguimiento PNC Graneles,termino_venta1,Termino Venta1,Termino Venta1,,,,
191,Seguimiento PNC Graneles,Proforma_enviada,Proforma Sent,Proforma Enviada,,,,
192,Seguimiento PNC Graneles,Docto_digital_fecha,Digital Docs Sent,Docto. Digital Enviado,,,,
193,Seguimiento PNC Graneles,Docto_original_fecha,Reception Original Documents,Recepción originales UO,,,,
194,Seguimiento PNC Graneles,Tiempo_entrega,Tiempo Entrega,Tiempo Entrega,,,,
195,Seguimiento PNC Graneles,Tiempo_transito,Transit Time,Tiempo Transito,,,,
196,Seguimiento PNC Graneles,Tipo_Transito,Transit Type,Tipo de Transito,,,,
197,Seguimiento PNC Graneles,Empresa_Logistica,Empresa Logistica,Empresa Logistica,,,,
198,Seguimiento PNC Graneles,necesita_proforma,Need Proform,Necesita Proforma,,,,
199,Seguimiento PNC Graneles,cumple_digitales,Digital Docs Check,Cumple Digitales,,,,
200,Seguimiento PNC Graneles,cumple_fisico,Phisical Docs Check,Cumple Fisico,,,,
201,Seguimiento PNC Specialties,,Order Tracking,Seguimiento Pedido,,,,
202,Seguimiento PNC Specialties,PEDIDO,Order,PEDIDO,,,,
203,Seguimiento PNC Specialties,Id_detalle_pedido,Order Detail ID,Id Detalle Pedido,,,,
204,Seguimiento PNC Specialties,No_camion,No Camion,No Camion,,,,
205,Seguimiento PNC Specialties,Fecha_estimada_disponibilidad_pedido,Fecha Estimada Disponibilidad Pedido,Fecha Estimada Disponibilidad Pedido,,,,
206,Seguimiento PNC Specialties,Fecha_envio_documento_tramite_permiso,Fecha Envio Documento Tramite Permiso,Fecha Envio Documento Tramite Permiso,,,,
207,Seguimiento PNC Specialties,Fecha_envio_documento_definitivo,Fecha Envio Documento Definitivo,Fecha Envio Documento Definitivo,,,,
208,Seguimiento PNC Specialties,Fecha_real_disponibilidad_pedido,Fecha Real Disponibilidad Pedido,Fecha Real Disponibilidad Pedido,,,,
209,Seguimiento PNC Specialties,Fecha_arribo_camion_frontera,Fecha Arribo Camion Frontera,Fecha Arribo Camion Frontera,,,,
210,Seguimiento PNC Specialties,Fecha_arribo_camion_destino,Fecha Arribo Camion Destino,Fecha Arribo Camion Destino,,,,
211,Seguimiento PNC Specialties,Fecha_bl,Fecha Bl,Fecha Bl,,,,
212,Seguimiento PNC Specialties,Flete,Flete de Compra,Flete de Compra,,,,
213,Seguimiento PNC Specialties,Precio_TM,Precio Venta TM,Precio Venta TM,,,,
214,Seguimiento PNC Specialties,Valor_total,Valor Total Venta,Valor Total Venta,,,,
215,Seguimiento PNC Specialties,No_factura,No Factura,No Factura,,,,
216,Seguimiento PNC Specialties,Puerto_carga,Puerto Carga,Puerto Carga,,,,
217,Seguimiento PNC Specialties,Pais_carga,Pais Carga,Pais Carga,,,,
218,Seguimiento PNC Specialties,No_embarque,No Embarque,No Embarque,,,,
219,Seguimiento PNC Specialties,Docto_digital_enviado,Docto Digital Enviado,Docto Digital Enviado,,,,
220,Seguimiento PNC Specialties,Docto_original_enviado,Docto Original Enviado,Docto Original Enviado,,,,
221,Seguimiento PNC Specialties,Pais_origen,Pais Origen,Pais Origen,,,,
222,Seguimiento PNC Specialties,Fecha_ofrecida_despacho_de,Fecha Ofrecida Despacho De,Fecha Ofrecida Despacho De,,,,
223,Seguimiento PNC Specialties,Fecha_ofrecida_despacho_a,Fecha Ofrecida Despacho A,Fecha Ofrecida Despacho A,,,,
224,Seguimiento PNC Specialties,Estado_zarpe,Estado Zarpe,Estado Zarpe,,,,
225,Seguimiento PNC Specialties,Fecha_arribo,Fecha Arribo,Fecha Arribo,,,,
226,Seguimiento PNC Specialties,Estado_arribo,Estado Arribo,Estado Arribo,,,,
227,Seguimiento PNC Specialties,Id_tipo_prod,Tipo Producto,Tipo Producto,,,,
228,Seguimiento PNC Specialties,Fecha_confirmacion_cliente_despacho_camion,Fecha Confirmacion Cliente Despacho Camion,Fecha Confirmacion Cliente Despacho Camion,,,,
229,Seguimiento PNC Specialties,Observaciones,Observaciones,Observaciones,,,,
230,Seguimiento PNC Specialties,Cantidad_contenedores,Cantidad Contenedores,Cantidad Contenedores,,,,
231,Seguimiento PNC Specialties,Incoterm_venta,Incoterm Venta,Incoterm Venta,,,,
232,Seguimiento PNC Specialties,Valor_unitario_venta,Valor Unitario Venta,Valor Unitario Venta,,,,
233,Seguimiento PNC Specialties,Valor_total_venta,Valor Total Venta,Valor Total Venta,,,,
234,Seguimiento PNC Specialties,No_factura_trading,No Factura Trading,No Factura Trading,,,,
235,Seguimiento PNC Specialties,Fecha_zarpe,Fecha Zarpe,Fecha Zarpe,,,,
236,Seguimiento PNC Specialties,Fecha_cargo_mercaderia_camion,Fecha Cargo Mercaderia Camion,Fecha Cargo Mercaderia Camion,,,,
237,Seguimiento PNC Specialties,Id_estado,Estado,Estado,,,,
238,Seguimiento PNC Specialties,No_lotes,No Lotes,No Lotes,,,,
239,Seguimiento PNC Specialties,Fecha_real_despacho_camion,Fecha Real Despacho Camion,Fecha Real Despacho Camion,,,,
240,Seguimiento PNC Specialties,Responsable,Responsable,Responsable,,,,
241,Seguimiento PNC Specialties,No_lista_empaque,No Lista Empaque,No Lista Empaque,,,,
242,Seguimiento PNC Specialties,Eta_puerto_carga,Eta Puerto Carga,Eta Puerto Carga,,,,
243,Seguimiento PNC Specialties,Fecha_zarpe_estimada,Fecha Zarpe Estimada,Fecha Zarpe Estimada,,,,
244,Seguimiento PNC Specialties,Plazo_venta,Plazo Venta,Plazo Venta,,,,
245,Seguimiento PNC Specialties,Eta_puerto_descarga,Eta Puerto Descarga,Eta Puerto Descarga,,,,
246,Seguimiento PNC Specialties,Etb_puerto_descarga,Etb Puerto Descarga,Etb Puerto Descarga,,,,
247,Seguimiento PNC Specialties,Fecha_factura,Fecha Factura,Fecha Factura,,,,
248,Seguimiento PNC Specialties,ref_lista_precio,Ref Lista Precio,Ref Lista Precio,,,,
249,Seguimiento PNC Specialties,Proforma_enviada,Proforma Enviada,Proforma Enviada,,,,
250,Seguimiento PNC Specialties,Docto_digital_fecha,Docto. Digital enviado,Docto. Digital enviado,,,,
251,Seguimiento PNC Specialties,Docto_original_fecha,Recepción originales UO,Recepción originales UO,,,,
252,Seguimiento PNC Specialties,Tiempo_entrega,Tiempo de entrega,Tiempo de entrega,,,,
253,Seguimiento PNC Specialties,Tiempo_transito,Tiempo de transito,Tiempo de transito,,,,
254,Seguimiento PNC Specialties,Tipo_Transito,Tipo de Transito,Tipo de Transito,,,,
255,Seguimiento PNC Specialties,EmpresaL,Empresa Logistica,Empresa Logistica,,,,
256,Seguimiento PNC Specialties,termino_venta,Termino Venta,Termino Venta,,,,
257,Seguimiento PNC Specialties,necesita_proforma,Necesita Proforma,Necesita Proforma,,,,
258,Seguimiento PNC Specialties,cumple_digitales,Cumple Digitales,Cumple Digitales,,,,
259,Seguimiento PNC Specialties,cumple_fisico,Cumple Fisico,Cumple Fisico,,,,
260,Control PNC Graneles,,Order control,Control Pedido,,,,
261,Control PNC Graneles,PEDIDO,Order,PEDIDO,,,,
262,Control PNC Graneles,Id_detalle_pedido,Order Detail ID,Id Detalle Pedido,,,,
263,Control PNC Graneles,Id_tipo_prod,Product Type,Tipo Producto,,,,
264,Control PNC Graneles,Correlativo_lote,Batch,Correlativo Lote,,,,
265,Control PNC Graneles,Fecha_inicio_descarga,Initial Discharge Date,Fecha Inicio Descarga,,,,
266,Control PNC Graneles,Fecha_fin_descarga,Final Discharge Date,Fecha Fin Descarga,,,,
267,Control PNC Graneles,Recibido,Received,Recibido,,,,
268,Control PNC Graneles,Faltante,Shortage,Faltante,,,,
269,Control PNC Graneles,Sobrante,Surplus,Sobrante,,,,
270,Control PNC Graneles,Precio_compra,Purchase Price,Precio Compra,,,,
271,Control PNC Graneles,Plazo,Term of Purchase,Plazo,,,,
272,Control PNC Graneles,Broker,Broker,Broker,,,,
273,Control PNC Graneles,Region,Region,Region,,,,
274,Control PNC Graneles,Vende,Trading,Trading,,,,
275,Control PNC Graneles,Volumen_compra,Valor Total de Compra,Valor Total de Compra,,,,
276,Control PNC Graneles,Id_precio,Id Precio,Id Precio,,,,
277,Control PNC Graneles,Fecha_emision_OC,Fecha Emision OC,Fecha Emision OC,,,,
278,Control PNC Graneles,OC_firma,OC Firma,OC Firma,,,,
279,Control PNC Graneles,OC_enviada,OC Enviada,OC Enviada,,,,
280,Control PNC Graneles,OC_recibida,OC Recibida,OC Recibida,,,,
281,Control PNC Graneles,Dias_OC,Dias OC,Dias OC,,,,
282,Control PNC Graneles,Empresa_logistica,Empresa Logistica,Empresa Logistica,,,,
283,Control PNC Graneles,Marca_nombre_comercial,Marca Nombre Comercial,Marca Nombre Comercial,,,,
284,Control PNC Graneles,Tiempo_entrega,Tiempo Entrega,Tiempo Entrega,,,,
285,Control PNC Graneles,Tiempo_transito,Tiempo Transito,Tiempo Transito,,,,
286,Control PNC Graneles,Termino_compra,Termino Compra,Termino Compra,,,,
287,Control PNC Graneles,Precio_referencia,Precio Referencia,Precio Referencia,,,,
288,Control PNC Graneles,Valor_total_referencia,Valor Total Referencia,Valor Total Referencia,,,,
289,Control PNC Graneles,Facturado,Facturado,Facturado,,,,
290,Control PNC Graneles,Observaciones,Observaciones,Observaciones,,,,
291,Control PNC Graneles,Dias_disponibilidad_planta,Dias Disponibilidad Planta,Dias Disponibilidad Planta,,,,
292,Control PNC Graneles,Dias_despacho_planta,Dias Despacho Planta,Dias Despacho Planta,,,,
293,Control PNC Graneles,Facturador_final,Facturador Final,Facturador Final,,,,
294,Control PNC Graneles,Fecha_pago,Fecha Pago,Fecha Pago,,,,
295,Control PNC Graneles,Categoria,Categoria,Categoria,,,,
296,Control PNC Graneles,No_factura_sourcing,No Factura Sourcing,No Factura Sourcing,,,,
297,Control PNC Graneles,Docto_digital_recibido,Docto Digital Recibido,Docto Digital Recibido,,,,
298,Control PNC Graneles,Docto_original_recibido,Docto Original Recibido,Docto Original Recibido,,,,
299,Control PNC Graneles,Cantidad_facturada,Invoice Amount,Cantidad Facturada,,,,
300,Control PNC Graneles,Proveedor,Supplier,Proveedor,,,,
301,Control PNC Graneles,No_factura,Invoice No.,No Factura,,,,
302,Control PNC Graneles,Incoterm,Purchase Incoterm,Incoterm Compra,,,,
303,Control PNC Graneles,Fecha_recepcion_lista_empaque,Fecha Recepcion Lista Empaque,Fecha Recepcion Lista Empaque,,,,
304,Control PNC Graneles,Fecha_respuesta_planificacion,Fecha Respuesta Planificacion,Fecha Respuesta Planificacion,,,,
305,Control PNC Graneles,Incoterm_compra,Incoterm Compra,Incoterm Compra,,,,
306,Control PNC Graneles,Gestores,Gestores,Gestores,,,,
307,Control PNC Graneles,Notifica_embarque,Notifica Embarque,Notifica Embarque,,,,
308,Control PNC Graneles,Confirma_compra,Confirma Compra,Confirma Compra,,,,
309,Control PNC Graneles,Id_estado,Status,Id Estado,,,,
310,Control PNC Graneles,id_presentacion_final,Id Presentacion Final,Id Presentacion Final,,,,
311,Control PNC Graneles,Solicitud_facturacion_FO,Solicitud Facturacion FO,Solicitud Facturacion FO,,,,
312,Control PNC Graneles,Facturacion_FO,Facturacion FO,Facturacion FO,,,,
313,Control PNC Specialties,,Control Pedido,Control Pedido,,,,
314,Control PNC Specialties,PEDIDO,PEDIDO,PEDIDO,,,,
315,Control PNC Specialties,Id_detalle_pedido,Id Detalle Pedido,Id Detalle Pedido,,,,
316,Control PNC Specialties,Id_tipo_prod,Tipo Producto,Tipo Producto,,,,
