,Unnamed: 0,Table,Field,English,Spanish,English Tooltips,Spanish Tooltips,English Placeholders,Spanish Placeholders,traduccion
84,84,seguimiento_pedido,Valor_total,Valor Total,Valor Total,,,,,Total Value
85,85,seguimiento_pedido,No_factura,No Factura,No Factura,,,,,No invoice
86,86,seguimiento_pedido,Puerto_carga,Puerto Carga,Puerto Carga,,,,,Cargo Port
87,87,seguimiento_pedido,Pais_carga,Pais Carga,Pais Carga,,,,,Country Load
88,88,seguimiento_pedido,No_embarque,No Embarque,No Embarque,,,,,No boarding
89,89,seguimiento_pedido,Docto_digital_enviado,Docto Digital Enviado,Docto Digital Enviado,,,,,Digital Docto Sent
90,90,seguimiento_pedido,Docto_original_enviado,Docto Original Enviado,Docto Original Enviado,,,,,Original Docto Sent
91,91,seguimiento_pedido,Pais_origen,Pais Origen,Pais Origen,,,,,Country of origin
92,92,seguimiento_pedido,Fecha_ofrecida_despacho_de,Fecha Ofrecida Despacho De,Fecha Ofrecida Despacho De,,,,,Date Offered Dispatch
93,93,seguimiento_pedido,Fecha_ofrecida_despacho_a,Fecha Ofrecida Despacho A,Fecha Ofrecida Despacho A,,,,,Date Offered Dispatch A
94,94,seguimiento_pedido,Estado_zarpe,Estado Zarpe,Estado Zarpe,,,,,Sailing State
95,95,seguimiento_pedido,Fecha_arribo,Fecha Arribo,Fecha Arribo,,,,,Arrival Date
96,96,seguimiento_pedido,Estado_arribo,Estado Arribo,Estado Arribo,,,,,Arrival Status
97,97,seguimiento_pedido,Id_tipo_prod,Id Tipo Prod,Id Tipo Prod,,,,,Id Type Prod
98,98,seguimiento_pedido,Fecha_confirmacion_cliente_despacho_camion,Fecha Confirmacion Cliente Despacho Camion,Fecha Confirmacion Cliente Despacho Camion,,,,,Date Confirmation Customer Dispatch Truck
99,99,seguimiento_pedido,Observaciones,Observaciones,Observaciones,,,,,Observations
100,100,seguimiento_pedido,Cantidad_contenedores,Cantidad Contenedores,Cantidad Contenedores,,,,,Quantity Containers
101,101,seguimiento_pedido,Incoterm_venta,Incoterm Venta,Incoterm Venta,,,,,Incoterm Sale
102,102,seguimiento_pedido,Valor_unitario_venta,Valor Unitario Venta,Valor Unitario Venta,,,,,Unit Value Sale
103,103,seguimiento_pedido,Valor_total_venta,Valor Total Venta,Valor Total Venta,,,,,Total Sale Value
104,104,seguimiento_pedido,No_factura_trading,No Factura Trading,No Factura Trading,,,,,No Trading Invoice
105,105,seguimiento_pedido,Fecha_zarpe,Fecha Zarpe,Fecha Zarpe,,,,,Sailing Date
106,106,seguimiento_pedido,Termino_venta,Termino Venta,Termino Venta,,,,,Sale term
107,107,seguimiento_pedido,Fecha_cargo_mercaderia_camion,Fecha Cargo Mercaderia Camion,Fecha Cargo Mercaderia Camion,,,,,Date Cargo Merchandise Truck
108,108,seguimiento_pedido,Id_estado,Id Estado,Id Estado,,,,,Id Status
109,109,seguimiento_pedido,No_lotes,No Lotes,No Lotes,,,,,No lots
110,110,seguimiento_pedido,Fecha_real_despacho_camion,Fecha Real Despacho Camion,Fecha Real Despacho Camion,,,,,Actual Date Dispatch Truck
111,111,seguimiento_pedido,Responsable,Responsable,Responsable,,,,,Responsable
112,112,seguimiento_pedido,No_lista_empaque,No Lista Empaque,No Lista Empaque,,,,,No Ready Packing
113,113,seguimiento_pedido,Eta_puerto_carga,Eta Puerto Carga,Eta Puerto Carga,,,,,Eta Port Cargo
114,114,seguimiento_pedido,Fecha_zarpe_estimada,Fecha Zarpe Estimada,Fecha Zarpe Estimada,,,,,Estimated Sailing Date
115,115,seguimiento_pedido,Plazo_venta,Plazo Venta,Plazo Venta,,,,,Term Sale
116,116,seguimiento_pedido,Eta_puerto_descarga,Eta Puerto Descarga,Eta Puerto Descarga,,,,,Eta Port Download
117,117,seguimiento_pedido,Etb_puerto_descarga,Etb Puerto Descarga,Etb Puerto Descarga,,,,,Etb Port Download
118,118,seguimiento_pedido,Fecha_factura,Fecha Factura,Fecha Factura,,,,,Invoice date
119,119,seguimiento_pedido,Ref_lista_precio,Ref Lista Precio,Ref Lista Precio,,,,,Ref List Price
120,120,PNC Graneles,,PNC Graneles,PNC Graneles,,,,,PNC Bulks
121,121,PNC Graneles,Id_pedido,Order Id,Pedido,,,,,Order Id
122,122,PNC Graneles,Empresa,Consignee,Consignatario,,,,,Consign
123,123,PNC Graneles,UN,BU,UN,,,,,BU
124,124,PNC Graneles,Fecha_de_Solicitud,Request Date,Fecha de solicitud,,,,,Request Date
125,125,PNC Graneles,Id_tipo_prod,Product Type,Tipo de producto,,,,,Product Type
126,126,PNC Graneles,No_orden_compra_cliente,Vessel,Buque,,,,,Vessel
127,127,PNC Graneles,Responsable,Responsible,Responsable,,,,,Responsible
128,128,PNC Graneles,cliente_final,Final Client,Cliente Final,,,,,Final Client
129,129,PNC Specialties,,PNC Specialties,PNC Specialties,,,,,PNC Specialties
130,130,PNC Specialties,Id_pedido,Order Id,Id Pedido,,,,,Order Id
131,131,PNC Specialties,Empresa,Consignee,Consignatario,,,,,Consign
132,132,PNC Specialties,UN,NU,UN,,,,,WILDEBEEST
133,133,PNC Specialties,Fecha_de_Solicitud,Request Date,Fecha de solicitud,,,,,Request Date
134,134,PNC Specialties,Id_tipo_prod,Product Type,Tipo de producto,,,,,Product Type
135,135,PNC Specialties,No_orden_compra_cliente,,No OC Cliente,,,,,
136,136,PNC Specialties,Fecha_emision_OC,Fecha Emision OC,Fecha Emision OC,,,,,OC Issue Date
137,137,PNC Specialties,Responsable,Responsible,Responsable,,,,,Responsible
138,138,PNC Specialties,No_oc_cliente,Sourcing PO,No OC Sourcing,,,,,PO Sourcing
139,139,PNC Specialties,No_Cotizacion,No Cotizacion,No Cotizacion,,,,,No Quotation
140,140,PNC Specialties,cliente_final,Final Client,Cliente Final,,,,,Final Client
141,141,Seguimiento PNC Graneles,,Order Tracking,Seguimiento Pedido,,,,,Order Tracking
142,142,Seguimiento PNC Graneles,PEDIDO,Order,PEDIDO,,,,,Order
143,143,Seguimiento PNC Graneles,Id_detalle_pedido,Order Detail ID,Id Detalle Pedido,,,,,Order Detail ID
144,144,Seguimiento PNC Graneles,No_camion,No Camion,No Camion,,,,,No truck
145,145,Seguimiento PNC Graneles,Fecha_estimada_disponibilidad_pedido,Fecha Estimada Disponibilidad Pedido,Fecha Estimada Disponibilidad Pedido,,,,,Estimated Date Availability Order
146,146,Seguimiento PNC Graneles,Fecha_envio_documento_tramite_permiso,Fecha Envio Documento Tramite Permiso,Fecha Envio Documento Tramite Permiso,,,,,Date Shipment Document Process Permission
147,147,Seguimiento PNC Graneles,Fecha_envio_documento_definitivo,Fecha Envio Documento Definitivo,Fecha Envio Documento Definitivo,,,,,Date Delivery Final Document
148,148,Seguimiento PNC Graneles,Fecha_real_disponibilidad_pedido,Fecha Real Disponibilidad Pedido,Fecha Real Disponibilidad Pedido,,,,,Actual Date Availability Order
149,149,Seguimiento PNC Graneles,Fecha_arribo_camion_frontera,Fecha Arribo Camion Frontera,Fecha Arribo Camion Frontera,,,,,Arrival Date Truck Border
150,150,Seguimiento PNC Graneles,Fecha_arribo_camion_destino,Fecha Arribo Camion Destino,Fecha Arribo Camion Destino,,,,,Date Arrival Destination Truck
151,151,Seguimiento PNC Graneles,Fecha_bl,BL Date,Fecha Bl,,,,,BL Date
152,152,Seguimiento PNC Graneles,Flete,Freight,Flete,,,,,Freight
153,153,Seguimiento PNC Graneles,Precio_TM,Sales Price /MT,Precio Venta TM,,,,,Sales Price / MT
154,154,Seguimiento PNC Graneles,Valor_total,Valor Total Venta,Valor Total Venta,,,,,Total Sale Value
155,155,Seguimiento PNC Graneles,No_factura,No Factura,No Factura,,,,,No invoice
156,156,Seguimiento PNC Graneles,PCarga,Loading Port,Puerto de Carga,,,,,Loading Port
157,157,Seguimiento PNC Graneles,Pais_carga,Loading Country,Pais Carga,,,,,Loading Country
158,158,Seguimiento PNC Graneles,No_embarque,No Embarque,No Embarque,,,,,No boarding
159,159,Seguimiento PNC Graneles,Docto_digital_enviado,Docto Digital Enviado,Docto Digital Enviado,,,,,Digital Docto Sent
160,160,Seguimiento PNC Graneles,Docto_original_enviado,Docto Original Enviado,Docto Original Enviado,,,,,Original Docto Sent
161,161,Seguimiento PNC Graneles,Pais_origen,Origin Country,Pais Origen,,,,,Origin Country
162,162,Seguimiento PNC Graneles,Fecha_ofrecida_despacho_de,Fecha Ofrecida Despacho De,Fecha Ofrecida Despacho De,,,,,Date Offered Dispatch
163,163,Seguimiento PNC Graneles,Fecha_ofrecida_despacho_a,Fecha Ofrecida Despacho A,Fecha Ofrecida Despacho A,,,,,Date Offered Dispatch A
164,164,Seguimiento PNC Graneles,Estado_zarpe,Estado Zarpe,Estado Zarpe,,,,,Sailing State
165,165,Seguimiento PNC Graneles,Fecha_arribo,Fecha Arribo,Fecha Arribo,,,,,Arrival Date
166,166,Seguimiento PNC Graneles,Estado_arribo,Estado Arribo,Estado Arribo,,,,,Arrival Status
167,167,Seguimiento PNC Graneles,Id_tipo_prod,Product Type,Tipo Producto,,,,,Product Type
168,168,Seguimiento PNC Graneles,Fecha_confirmacion_cliente_despacho_camion,Fecha Confirmacion Cliente Despacho Camion,Fecha Confirmacion Cliente Despacho Camion,,,,,Date Confirmation Customer Dispatch Truck
169,169,Seguimiento PNC Graneles,Observaciones,Observations,Observaciones,,,,,Observations
170,170,Seguimiento PNC Graneles,Cantidad_contenedores,Cantidad Contenedores,Cantidad Contenedores,,,,,Quantity Containers
171,171,Seguimiento PNC Graneles,Incoterm_venta,Sales Incoterm,Incoterm Venta,,,,,Sales Incoterm
172,172,Seguimiento PNC Graneles,Valor_unitario_venta,Valor Unitario Venta,Valor Unitario Venta,,,,,Unit Value Sale
173,173,Seguimiento PNC Graneles,Valor_total_venta,Valor Total Venta,Valor Total Venta,,,,,Total Sale Value
174,174,Seguimiento PNC Graneles,No_factura_trading,No Factura Trading,No Factura Trading,,,,,No Trading Invoice
175,175,Seguimiento PNC Graneles,Fecha_zarpe,Fecha Zarpe,Fecha Zarpe,,,,,Sailing Date
176,176,Seguimiento PNC Graneles,termino_venta,Termino Venta,Termino Venta,,,,,Sale term
177,177,Seguimiento PNC Graneles,Fecha_cargo_mercaderia_camion,Fecha Cargo Mercaderia Camion,Fecha Cargo Mercaderia Camion,,,,,Date Cargo Merchandise Truck
178,178,Seguimiento PNC Graneles,Id_estado,Status,Estado,,,,,Status
179,179,Seguimiento PNC Graneles,No_lotes,No Lotes,No Lotes,,,,,No lots
180,180,Seguimiento PNC Graneles,Fecha_real_despacho_camion,Fecha Real Despacho Camion,Fecha Real Despacho Camion,,,,,Actual Date Dispatch Truck
181,181,Seguimiento PNC Graneles,Responsable,Responsable,Responsable,,,,,Responsable
182,182,Seguimiento PNC Graneles,No_lista_empaque,No Lista Empaque,No Lista Empaque,,,,,No Ready Packing
183,183,Seguimiento PNC Graneles,Eta_puerto_carga,ETA Loading Port,Fecha Estimada Arribo a Puerto de Carga,,,,,ETA Loading Port
184,184,Seguimiento PNC Graneles,Fecha_zarpe_estimada,ETD,Fecha Zarpe Estimada,,,,,ETD
185,185,Seguimiento PNC Graneles,Plazo_venta,Term of Sale,Plazo Venta,,,,,Term of Sale
186,186,Seguimiento PNC Graneles,Eta_puerto_descarga,ETA Discharge Port,Fecha Estimada Arribo a Puerto de Descarga,,,,,ETA Discharge Port
187,187,Seguimiento PNC Graneles,Etb_puerto_descarga,ETB Discharge Port,Fecha Estimada Atraque a Puerto de Descarga,,,,,ETB Discharge Port
188,188,Seguimiento PNC Graneles,Fecha_factura,Fecha Factura,Fecha Factura,,,,,Invoice date
189,189,Seguimiento PNC Graneles,ref_lista_precio,Ref Lista Precio,Ref Lista Precio,,,,,Ref List Price
190,190,Seguimiento PNC Graneles,termino_venta1,Termino Venta1,Termino Venta1,,,,,Term Sale1
191,191,Seguimiento PNC Graneles,Proforma_enviada,Proforma Sent,Proforma Enviada,,,,,Proforma Sent
192,192,Seguimiento PNC Graneles,Docto_digital_fecha,Digital Docs Sent,Docto. Digital Enviado,,,,,Digital Docs Sent
193,193,Seguimiento PNC Graneles,Docto_original_fecha,Reception Original Documents,RecepciÃ³n originales UO,,,,,Reception Original Documents
194,194,Seguimiento PNC Graneles,Tiempo_entrega,Tiempo Entrega,Tiempo Entrega,,,,,Delivery time
195,195,Seguimiento PNC Graneles,Tiempo_transito,Transit Time,Tiempo Transito,,,,,Transit time
196,196,Seguimiento PNC Graneles,Tipo_Transito,Transit Type,Tipo de Transito,,,,,Transit Type
197,197,Seguimiento PNC Graneles,Empresa_Logistica,Empresa Logistica,Empresa Logistica,,,,,Logistics Company
198,198,Seguimiento PNC Graneles,necesita_proforma,Need Proform,Necesita Proforma,,,,,Need proform
199,199,Seguimiento PNC Graneles,cumple_digitales,Digital Docs Check,Cumple Digitales,,,,,Digital Docs Check
200,200,Seguimiento PNC Graneles,cumple_fisico,Phisical Docs Check,Cumple Fisico,,,,,Phisical Docs Check
201,201,Seguimiento PNC Specialties,,Order Tracking,Seguimiento Pedido,,,,,Order Tracking
202,202,Seguimiento PNC Specialties,PEDIDO,Order,PEDIDO,,,,,Order
203,203,Seguimiento PNC Specialties,Id_detalle_pedido,Order Detail ID,Id Detalle Pedido,,,,,Order Detail ID
204,204,Seguimiento PNC Specialties,No_camion,No Camion,No Camion,,,,,No truck
205,205,Seguimiento PNC Specialties,Fecha_estimada_disponibilidad_pedido,Fecha Estimada Disponibilidad Pedido,Fecha Estimada Disponibilidad Pedido,,,,,Estimated Date Availability Order
206,206,Seguimiento PNC Specialties,Fecha_envio_documento_tramite_permiso,Fecha Envio Documento Tramite Permiso,Fecha Envio Documento Tramite Permiso,,,,,Date Shipment Document Process Permission
207,207,Seguimiento PNC Specialties,Fecha_envio_documento_definitivo,Fecha Envio Documento Definitivo,Fecha Envio Documento Definitivo,,,,,Date Delivery Final Document
208,208,Seguimiento PNC Specialties,Fecha_real_disponibilidad_pedido,Fecha Real Disponibilidad Pedido,Fecha Real Disponibilidad Pedido,,,,,Actual Date Availability Order
209,209,Seguimiento PNC Specialties,Fecha_arribo_camion_frontera,Fecha Arribo Camion Frontera,Fecha Arribo Camion Frontera,,,,,Arrival Date Truck Border
210,210,Seguimiento PNC Specialties,Fecha_arribo_camion_destino,Fecha Arribo Camion Destino,Fecha Arribo Camion Destino,,,,,Date Arrival Destination Truck
211,211,Seguimiento PNC Specialties,Fecha_bl,Fecha Bl,Fecha Bl,,,,,Bl date
212,212,Seguimiento PNC Specialties,Flete,Flete de Compra,Flete de Compra,,,,,Purchase Freight
213,213,Seguimiento PNC Specialties,Precio_TM,Precio Venta TM,Precio Venta TM,,,,,Sale Price TM
214,214,Seguimiento PNC Specialties,Valor_total,Valor Total Venta,Valor Total Venta,,,,,Total Sale Value
215,215,Seguimiento PNC Specialties,No_factura,No Factura,No Factura,,,,,No invoice
216,216,Seguimiento PNC Specialties,Puerto_carga,Puerto Carga,Puerto Carga,,,,,Cargo Port
217,217,Seguimiento PNC Specialties,Pais_carga,Pais Carga,Pais Carga,,,,,Country Load
218,218,Seguimiento PNC Specialties,No_embarque,No Embarque,No Embarque,,,,,No boarding
219,219,Seguimiento PNC Specialties,Docto_digital_enviado,Docto Digital Enviado,Docto Digital Enviado,,,,,Digital Docto Sent
220,220,Seguimiento PNC Specialties,Docto_original_enviado,Docto Original Enviado,Docto Original Enviado,,,,,Original Docto Sent
221,221,Seguimiento PNC Specialties,Pais_origen,Pais Origen,Pais Origen,,,,,Country of origin
222,222,Seguimiento PNC Specialties,Fecha_ofrecida_despacho_de,Fecha Ofrecida Despacho De,Fecha Ofrecida Despacho De,,,,,Date Offered Dispatch
223,223,Seguimiento PNC Specialties,Fecha_ofrecida_despacho_a,Fecha Ofrecida Despacho A,Fecha Ofrecida Despacho A,,,,,Date Offered Dispatch A
224,224,Seguimiento PNC Specialties,Estado_zarpe,Estado Zarpe,Estado Zarpe,,,,,Sailing State
225,225,Seguimiento PNC Specialties,Fecha_arribo,Fecha Arribo,Fecha Arribo,,,,,Arrival Date
226,226,Seguimiento PNC Specialties,Estado_arribo,Estado Arribo,Estado Arribo,,,,,Arrival Status
227,227,Seguimiento PNC Specialties,Id_tipo_prod,Tipo Producto,Tipo Producto,,,,,Product Type
228,228,Seguimiento PNC Specialties,Fecha_confirmacion_cliente_despacho_camion,Fecha Confirmacion Cliente Despacho Camion,Fecha Confirmacion Cliente Despacho Camion,,,,,Date Confirmation Customer Dispatch Truck
229,229,Seguimiento PNC Specialties,Observaciones,Observaciones,Observaciones,,,,,Observations
230,230,Seguimiento PNC Specialties,Cantidad_contenedores,Cantidad Contenedores,Cantidad Contenedores,,,,,Quantity Containers
231,231,Seguimiento PNC Specialties,Incoterm_venta,Incoterm Venta,Incoterm Venta,,,,,Incoterm Sale
232,232,Seguimiento PNC Specialties,Valor_unitario_venta,Valor Unitario Venta,Valor Unitario Venta,,,,,Unit Value Sale
233,233,Seguimiento PNC Specialties,Valor_total_venta,Valor Total Venta,Valor Total Venta,,,,,Total Sale Value
234,234,Seguimiento PNC Specialties,No_factura_trading,No Factura Trading,No Factura Trading,,,,,No Trading Invoice
235,235,Seguimiento PNC Specialties,Fecha_zarpe,Fecha Zarpe,Fecha Zarpe,,,,,Sailing Date
236,236,Seguimiento PNC Specialties,Fecha_cargo_mercaderia_camion,Fecha Cargo Mercaderia Camion,Fecha Cargo Mercaderia Camion,,,,,Date Cargo Merchandise Truck
237,237,Seguimiento PNC Specialties,Id_estado,Estado,Estado,,,,,State
238,238,Seguimiento PNC Specialties,No_lotes,No Lotes,No Lotes,,,,,No lots
239,239,Seguimiento PNC Specialties,Fecha_real_despacho_camion,Fecha Real Despacho Camion,Fecha Real Despacho Camion,,,,,Actual Date Dispatch Truck
240,240,Seguimiento PNC Specialties,Responsable,Responsable,Responsable,,,,,Responsable
241,241,Seguimiento PNC Specialties,No_lista_empaque,No Lista Empaque,No Lista Empaque,,,,,No Ready Packing
242,242,Seguimiento PNC Specialties,Eta_puerto_carga,Eta Puerto Carga,Eta Puerto Carga,,,,,Eta Port Cargo
243,243,Seguimiento PNC Specialties,Fecha_zarpe_estimada,Fecha Zarpe Estimada,Fecha Zarpe Estimada,,,,,Estimated Sailing Date
244,244,Seguimiento PNC Specialties,Plazo_venta,Plazo Venta,Plazo Venta,,,,,Term Sale
245,245,Seguimiento PNC Specialties,Eta_puerto_descarga,Eta Puerto Descarga,Eta Puerto Descarga,,,,,Eta Port Download
246,246,Seguimiento PNC Specialties,Etb_puerto_descarga,Etb Puerto Descarga,Etb Puerto Descarga,,,,,Etb Port Download
247,247,Seguimiento PNC Specialties,Fecha_factura,Fecha Factura,Fecha Factura,,,,,Invoice date
248,248,Seguimiento PNC Specialties,ref_lista_precio,Ref Lista Precio,Ref Lista Precio,,,,,Ref List Price
249,249,Seguimiento PNC Specialties,Proforma_enviada,Proforma Enviada,Proforma Enviada,,,,,Proforma Sent
250,250,Seguimiento PNC Specialties,Docto_digital_fecha,Docto. Digital enviado,Docto. Digital enviado,,,,,Learned. Digital sent
251,251,Seguimiento PNC Specialties,Docto_original_fecha,RecepciÃ³n originales UO,RecepciÃ³n originales UO,,,,,UO original reception
252,252,Seguimiento PNC Specialties,Tiempo_entrega,Tiempo de entrega,Tiempo de entrega,,,,,Delivery time
253,253,Seguimiento PNC Specialties,Tiempo_transito,Tiempo de transito,Tiempo de transito,,,,,Transit time
254,254,Seguimiento PNC Specialties,Tipo_Transito,Tipo de Transito,Tipo de Transito,,,,,Type of Transit
255,255,Seguimiento PNC Specialties,EmpresaL,Empresa Logistica,Empresa Logistica,,,,,Logistics Company
